year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1983,IA,Iowa,2905000,5262,108587,181.1359725,3737.934596
1983,ID,Idaho,989000,2361,35872,238.7259858,3627.098079
1983,IL,Illinois,11486000,83629,552857,728.0950723,4813.311858
1983,IN,Indiana,5479000,15547,210725,283.7561599,3846.048549
1983,KS,Kansas,2425000,7919,101928,326.556701,4203.216495
1983,KY,Kentucky,3714000,11967,115602,322.2132472,3112.600969
1983,LA,Louisiana,4438000,28444,194636,640.919333,4385.66922
1983,MA,Massachusetts,5767000,33264,255707,576.799029,4433.969135
1983,MD,Maryland,4304000,34736,195828,807.063197,4549.907063
1983,ME,Maine,1146000,1829,40357,159.5986038,3521.553229
1983,MI,Michigan,9069000,64993,522450,716.6501268,5760.833609
1983,MN,Minnesota,4144000,7909,159268,190.8542471,3843.339768
1983,MO,Missouri,4970000,23718,201418,477.22334,4052.676056
1983,MS,Mississippi,2587000,7255,75740,280.4406649,2927.715501
1983,MT,Montana,817000,1737,36208,212.6070991,4431.823745
1983,NC,North Carolina,6082000,24911,229540,409.5856626,3774.087471
1983,ND,North Dakota,680000,365,17828,53.67647059,2621.764706
1983,NE,Nebraska,1597000,3477,57012,217.7207264,3569.943644
1983,NH,New Hampshire,959000,1200,30987,125.1303441,3231.178311
1983,NJ,New Jersey,7468000,41304,344296,553.0798072,4610.283878
1983,NM,New Mexico,1399000,9608,79175,686.7762688,5659.399571
1983,NV,Nevada,891000,5838,53871,655.2188552,6046.127946
1983,NY,New York,17667000,161489,881322,914.0714326,4988.520971
1983,OH,Ohio,10746000,42759,441362,397.9061977,4107.221292
1983,OK,Oklahoma,3298000,13964,148599,423.4081261,4505.730746
1983,OR,Oregon,2662000,12986,153412,487.8287002,5763.035312
1983,PA,Pennsylvania,11895000,40782,339321,342.8499369,2852.635561
1983,RI,Rhode Island,955000,3392,44410,355.1832461,4650.26178
1983,SC,South Carolina,3264000,20133,135590,616.8198529,4154.105392
1983,SD,South Dakota,700000,840,16993,120,2427.571429
1983,TN,Tennessee,4685000,18836,169110,402.0490928,3609.605123
1983,TX,Texas,15724000,80546,848312,512.2487917,5395.013991
